id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,year
6081,Dennis Geiger,27,2019,1,0.16566114127635956,3,2.4861039081588387,5,35,9,0,M,Hoffenheim,1,0.16566114127635956,7.273835579864681,5.599420048296452,Bundesliga,2022
6338,Lucas Alario,20,290,1,1.3475146889686584,0,0.058938201516866684,11,1,0,0,F S,Eintracht Frankfurt,1,1.3475146889686584,2.426865501329303,1.0743135064840317,Bundesliga,2022
6436,Stanley N&#039;Soki,19,1287,1,0.5313683049753308,0,0.4483819082379341,6,3,2,1,D S,Hoffenheim,1,0.5313683049753308,5.93269032984972,5.158309873193502,Bundesliga,2022
6595,Paul Jäckel,16,1204,1,0.15980300307273865,0,0.02945166453719139,2,1,2,1,D S,Union Berlin,1,0.15980300307273865,1.4205832108855247,1.4205832108855247,Bundesliga,2022
7049,Evan Ndicka,30,2694,1,1.5021085226908326,0,0.21527200192213058,18,3,4,0,D,Eintracht Frankfurt,1,1.5021085226908326,8.221431259065866,8.159191533923149,Bundesliga,2022
7065,Florian Neuhaus,23,1408,1,1.7601174786686897,0,2.6257726550102234,28,15,2,0,M S,Borussia M.Gladbach,1,1.7601174786686897,8.51011537015438,4.909894483163953,Bundesliga,2022
7067,Paulinho,4,81,1,0.5969429910182953,0,0,2,0,0,0,F S,Bayer Leverkusen,1,0.5969429910182953,0.6138509903103113,0.01690799929201603,Bundesliga,2022
7073,Pierre Kunde,12,365,1,0.3449650974944234,0,0.2024424746632576,4,4,0,0,M S,Bochum,1,0.3449650974944234,0.7458442570641637,0.19843677803874016,Bundesliga,2022
7108,Jonathan Burkardt,11,540,1,3.820821888744831,2,1.2732256054878235,21,7,2,0,F M S,Mainz 05,1,3.0630448684096336,3.7387560456991196,0.9070562198758125,Bundesliga,2022
7267,Woo-Yeong Jeong,26,622,1,2.3447846341878176,1,1.0569153632968664,13,6,2,0,F M S,Freiburg,1,2.3447846341878176,3.8197363168001175,1.5174751058220863,Bundesliga,2022
7345,Alphonso Davies,26,2054,1,2.2144710374996066,4,3.4712795857340097,19,43,0,0,D M S,Bayern Munich,1,2.2144710374996066,20.467795314267278,15.926782006397843,Bundesliga,2022
7482,Kouadio Kone,30,2636,1,0.8235916122794151,1,1.2853310443460941,26,20,12,0,M,Borussia M.Gladbach,1,0.8235916122794151,13.008390493690968,11.459222538396716,Bundesliga,2022
7551,Mohamed Simakan,24,1462,1,2.333084085956216,1,1.239668756723404,12,11,2,0,D S,RasenBallsport Leipzig,1,2.333084085956216,4.416493048891425,3.202450942248106,Bundesliga,2022
7612,Nathan N&#039;Goumou Minpol,20,688,1,1.1990367900580168,0,0.20888326317071915,13,3,0,0,F M S,Borussia M.Gladbach,1,1.1990367900580168,3.078505851328373,1.789853623136878,Bundesliga,2022
7783,Xaver Schlager,22,1504,1,0.5458100996911526,1,0.973279032856226,5,8,2,0,M S,RasenBallsport Leipzig,1,0.5458100996911526,10.896394051611423,9.585913009941578,Bundesliga,2022
7791,Sebastiaan Bornauw,26,1934,1,0.429217092692852,0,0.06051630154252052,4,1,8,0,D S,Wolfsburg,1,0.429217092692852,4.605699745938182,4.557444838806987,Bundesliga,2022
7807,Luca Kilian,16,1118,1,1.1016450533643365,0,0.19901977106928825,4,3,1,2,D S,FC Cologne,1,1.1016450533643365,2.01297839358449,1.8989955224096775,Bundesliga,2022
7815,Christian Groß,26,1918,1,0.3920436417683959,1,0.5678231548517942,5,5,4,0,D M S,Werder Bremen,1,0.3920436417683959,4.845863090828061,3.9561871979385614,Bundesliga,2022
7900,Sargis Adamyan,24,594,1,4.416220685467124,3,1.153845027089119,21,8,3,0,F S,FC Cologne,1,4.416220685467124,5.836594196036458,1.2954558189958334,Bundesliga,2022
7939,Morten Thorsby,24,803,1,0.994760949164629,1,0.2810052027925849,9,7,3,0,M S,Union Berlin,1,0.994760949164629,2.2772523518651724,1.1957275941967964,Bundesliga,2022
7997,Julian Ryerson,30,2474,1,1.126702019944787,0,2.377535879611969,26,22,4,0,D S,"Borussia Dortmund,Union Berlin",1,1.126702019944787,11.521786760538816,10.113925835117698,Bundesliga,2022
8025,Kasper Dolberg,13,380,1,0.33276271633803844,0,0.6243885392323136,6,4,0,0,F S,Hoffenheim,1,0.33276271633803844,1.2663547359406948,0.30920279771089554,Bundesliga,2022
8171,Hannes Wolf,18,425,1,1.4649172388017178,1,0.3275195760652423,8,6,0,0,M S,Borussia M.Gladbach,1,1.4649172388017178,2.5546592846512794,0.853125381283462,Bundesliga,2022
8317,Edmond Tapsoba,33,2874,1,2.565204307436943,0,1.0476770903915167,15,5,5,0,D M S,Bayer Leverkusen,0,1.0496511161327362,13.109413214027882,12.333076603710651,Bundesliga,2022
8397,Florian Wirtz,17,1089,1,0.583570022135973,6,4.696660354733467,7,39,4,0,F M S,Bayer Leverkusen,1,0.583570022135973,9.336530420929193,5.08792663551867,Bundesliga,2022
8398,Márton Dárdai,17,954,1,0.06976000219583511,0,0.13617869652807713,2,4,2,0,D M S,Hertha Berlin,1,0.06976000219583511,1.2504708655178547,1.1211314760148525,Bundesliga,2022
